hillary	trump	bill	ideo	econ	partyid	relative
0	85	0	6	3	7	-85
60	60	40	2	4	3	0
96	50	100	6	3	2	46
15	60	70	6	1	7	-45
85	0	100	4	2	1	85
0	100	15	6	4	7	-100
0	0	0	4	4	3	0
10	30	50	3	3	3	-20
0	70	0	4	3	7	-70
15	15	15	5	3	6	0
60	0	40	3	2	2	60
100	0	85	3	1	1	100
15	40	70	5	3	4	-25
0	100	15	6	5	7	-100
85	0	100	1	4	3	85
15	40	40	4	3	5	-25
30	85	30	6	3	6	-55
20	50	50	4	4	5	-30
15	85	60	6	4	6	-70
65	10	55	4	2	3	55
30	70	15	4	5	6	-40
60	50	60	4	3	2	10
15	70	60	5	4	4	-55
40	85	30	6	3	7	-45
80	20	80	6	3	1	60
0	85	15	6	3	7	-85
60	15	60	4	3	6	45
15	100	50	7	5	7	-85
50	0	60	5	3	2	50
85	40	100	3	1	3	45
70	0	70	4	3	3	70
60	60	50	4	3	2	0
85	0	60	2	2	3	85
40	15	50	3	2	3	25
40	0	40	3	2	3	40
15	15	60	6	3	7	0
0	100	0	7	5	7	-100
0	40	70	6	4	5	-40
30	70	30	6	5	5	-40
40	0	50	3	3	3	40
40	0	60	3	2	3	40
20	75	40	6	3	7	-55
60	30	85	3	2	1	30
50	10	70	2	2	2	40
60	40	60	4	2	3	20
85	0	50	3	2	3	85
85	15	100	6	3	6	70
70	0	60	3	3	4	70
70	50	85	4	2	3	20
15	0	50	5	2	4	15
70	0	85	2	3	1	70
0	100	0	7	5	7	-100
0	100	0	6	5	7	-100
0	70	40	7	3	7	-70
100	0	100	1	5	3	100
70	0	60	4	1	3	70
15	30	60	4	3	5	-15
70	0	60	2	2	1	70
85	40	70	3	3	2	45
30	70	30	7	3	7	-40
0	30	40	6	3	7	-30
0	85	30	4	3	7	-85
50	0	70	5	3	6	50
60	0	70	3	2	1	60
15	70	15	6	4	7	-55
60	0	60	3	3	2	60
40	70	15	6	2	5	-30
70	0	70	1	3	1	70
0	85	0	6	5	5	-85
40	30	40	4	4	3	10
70	15	85	4	2	4	55
70	40	60	5	3	2	30
100	0	85	3	2	1	100
15	70	30	7	2	6	-55
40	30	70	3	2	2	10
15	85	30	5	4	6	-70
70	0	85	5	3	2	70
70	0	70	4	2	1	70
85	0	70	1	2	3	85
40	60	60	5	3	6	-20
85	0	85	2	3	3	85
0	85	15	6	4	5	-85
0	85	0	6	3	6	-85
85	0	70	3	3	1	85
0	85	0	6	3	7	-85
100	0	100	4	2	1	100
40	15	85	4	2	3	25
0	15	15	5	2	5	-15
30	60	30	5	3	7	-30
40	0	30	5	2	5	40
15	85	15	6	4	5	-70
0	100	0	4	3	7	-100
50	60	30	4	3	6	-10
50	50	100	3	3	3	0
10	0	85	2	2	1	10
0	70	0	6	5	7	-70
15	50	15	6	3	7	-35
0	85	0	4	4	5	-85
85	0	60	2	3	2	85
0	85	0	4	3	6	-85
15	85	50	5	3	5	-70
70	15	60	2	2	2	55
70	0	70	5	1	2	70
40	15	60	3	2	3	25
40	70	30	4	3	5	-30
85	15	70	3	2	3	70
50	50	70	6	2	3	0
85	50	85	4	3	2	35
100	0	70	4	4	3	100
85	0	85	6	1	1	85
15	60	15	4	4	5	-45
70	15	70	4	2	2	55
60	85	50	2	2	6	-25
85	0	60	5	3	2	85
0	60	0	7	3	7	-60
30	60	50	6	3	6	-30
0	70	15	5	3	7	-70
0	100	0	6	4	7	-100
40	60	70	4	3	2	-20
0	70	0	6	3	5	-70
0	70	0	7	5	7	-70
0	60	50	7	4	5	-60
0	70	0	6	3	5	-70
70	0	85	5	2	5	70
0	60	0	6	5	7	-60
85	0	70	3	2	1	85
40	60	50	4	4	5	-20
15	85	40	5	3	7	-70
15	70	15	6	3	5	-55
100	0	85	2	2	2	100
40	40	30	4	2	5	0
85	0	70	2	2	1	85
70	0	60	4	3	2	70
0	70	15	6	5	7	-70
0	100	15	6	4	7	-100
0	60	0	7	4	7	-60
30	30	70	3	5	6	0
60	0	85	4	5	1	60
60	80	10	7	3	6	-20
40	40	30	5	3	5	0
0	85	15	4	4	7	-85
0	85	0	6	4	7	-85
15	30	50	3	3	6	-15
40	70	50	6	4	5	-30
0	0	50	5	4	4	0
60	15	60	3	2	3	45
30	60	30	6	2	7	-30
15	85	30	6	3	7	-70
70	0	70	3	2	2	70
50	15	40	4	2	3	35
0	60	15	5	3	5	-60
0	40	50	5	3	5	-40
50	50	50	4	5	2	0
20	65	20	5	3	6	-45
50	70	15	6	3	6	-20
70	0	85	2	2	2	70
100	0	85	2	2	1	100
40	70	60	5	5	6	-30
0	85	15	6	4	7	-85
0	100	0	5	3	7	-100
50	30	0	4	3	4	20
70	50	70	6	2	3	20
50	50	70	4	3	4	0
60	50	40	5	4	5	10
60	15	70	5	3	4	45
0	30	30	7	5	5	-30
100	0	100	1	5	1	100
40	0	50	4	3	5	40
70	40	90	4	2	3	30
60	85	60	4	3	6	-25
15	85	30	6	4	7	-70
40	15	40	4	1	4	25
40	30	100	4	3	6	10
30	85	40	5	2	5	-55
50	0	60	4	3	4	50
0	100	0	4	5	5	-100
85	0	70	2	2	1	85
0	70	0	6	3	6	-70
0	30	0	7	3	7	-30
0	100	30	6	3	7	-100
15	30	40	5	5	5	-15
60	0	70	2	2	2	60
15	70	15	5	3	7	-55
60	30	70	4	3	3	30
15	70	60	5	4	5	-55
60	40	50	4	3	5	20
0	50	0	5	4	5	-50
70	0	50	2	2	3	70
0	85	50	4	3	6	-85
0	60	0	6	4	7	-60
0	75	0	7	4	7	-75
0	60	50	6	4	7	-60
0	70	15	6	5	5	-70
0	0	0	4	5	4	0
30	60	60	4	5	5	-30
0	70	30	7	3	7	-70
85	60	60	4	2	2	25
60	30	70	2	2	1	30
70	0	60	2	1	1	70
15	15	15	3	5	4	0
15	40	15	6	4	7	-25
15	70	30	6	3	7	-55
50	85	50	3	4	5	-35
0	50	0	6	3	5	-50
50	0	40	3	2	3	50
50	0	50	4	2	5	50
0	70	0	6	3	7	-70
70	0	60	3	2	2	70
30	0	70	4	3	3	30
15	60	30	5	4	7	-45
15	85	15	6	3	6	-70
15	85	0	6	3	7	-70
0	70	15	5	3	6	-70
0	70	0	6	3	7	-70
0	100	0	5	4	7	-100
85	40	85	4	4	1	45
85	15	60	3	2	1	70
0	0	15	4	2	4	0
70	0	100	4	3	1	70
15	15	15	4	4	5	0
70	0	85	4	4	1	70
60	0	50	4	3	3	60
100	0	100	6	3	1	100
85	40	100	2	2	1	45
40	0	50	4	4	1	40
30	0	60	2	2	1	30
0	0	0	1	5	4	0
79	21	82	3	2	2	58
70	0	100	1	2	1	70
0	40	15	6	4	5	-40
85	0	85	3	3	1	85
85	50	100	5	1	5	35
70	0	50	2	2	1	70
30	30	30	5	3	6	0
0	0	100	6	2	5	0
30	70	15	6	4	7	-40
50	0	70	2	3	3	50
30	85	50	6	3	7	-55
100	15	90	3	1	2	85
1	0	10	4	3	2	1
30	60	30	5	4	5	-30
30	85	15	5	3	7	-55
0	40	0	4	5	7	-40
65	35	85	3	1	1	30
15	0	60	1	2	4	15
0	70	0	5	4	7	-70
50	0	75	2	2	3	50
50	0	70	3	2	3	50
100	85	100	5	4	7	15
60	85	50	5	2	6	-25
60	0	40	5	5	3	60
30	30	60	5	3	6	0
85	50	85	2	3	3	35
100	0	100	2	3	1	100
15	40	30	6	2	6	-25
70	0	70	2	3	3	70
0	85	0	6	5	7	-85
60	15	70	2	4	2	45
15	70	30	5	5	6	-55
0	30	0	6	3	5	-30
50	50	85	4	4	5	0
15	85	40	7	4	7	-70
0	100	0	7	3	7	-100
70	0	70	4	3	3	70
60	15	30	2	2	3	45
60	0	60	1	2	2	60
90	60	70	4	3	2	30
70	20	70	3	2	6	50
60	15	70	2	3	1	45
85	0	85	2	1	1	85
85	0	85	1	3	1	85
15	60	60	5	4	5	-45
30	100	50	6	5	7	-70
60	60	60	4	2	4	0
0	35	10	7	4	7	-35
70	0	60	1	2	1	70
0	40	0	4	5	7	-40
100	0	85	5	2	1	100
0	70	0	6	5	7	-70
50	50	60	4	2	4	0
60	0	40	1	2	2	60
0	50	15	4	1	5	-50
0	85	0	6	3	7	-85
60	0	40	2	3	2	60
70	30	70	2	3	2	40
15	60	30	6	3	6	-45
85	15	100	3	1	1	70
15	15	15	5	3	4	0
70	0	70	4	4	1	70
15	0	60	5	3	7	15
0	100	0	7	5	5	-100
85	70	85	4	4	4	15
70	0	100	4	1	1	70
40	40	40	6	3	5	0
20	30	10	5	3	6	-10
50	100	15	7	4	5	-50
100	0	100	4	3	1	100
0	85	15	5	4	5	-85
70	0	60	4	2	3	70
15	70	0	5	4	6	-55
70	0	70	3	3	6	70
40	40	60	4	3	4	0
0	50	70	1	4	5	-50
85	70	85	2	4	2	15
0	50	0	6	3	5	-50
85	15	100	5	1	1	70
50	0	50	4	3	1	50
70	60	85	5	3	1	10
85	0	70	2	2	1	85
60	70	85	3	4	4	-10
70	40	85	4	5	5	30
70	60	60	5	3	2	10
70	0	40	4	3	1	70
15	60	15	4	3	7	-45
85	50	85	4	3	4	35
0	85	15	6	5	6	-85
70	0	50	3	2	2	70
0	85	0	4	4	4	-85
0	85	15	4	3	2	-85
0	70	15	6	4	6	-70
100	0	100	3	3	1	100
85	0	60	4	3	3	85
0	100	0	6	3	7	-100
60	30	40	4	3	2	30
15	85	15	6	3	7	-70
30	30	60	4	3	5	0
30	60	40	3	2	5	-30
30	30	50	4	3	4	0
100	0	100	2	2	1	100
85	0	85	5	2	1	85
0	0	0	5	5	5	0
0	85	15	6	5	5	-85
50	15	70	4	2	1	35
85	15	70	3	3	2	70
15	100	0	6	4	5	-85
60	50	50	4	3	6	10
15	85	0	6	4	7	-70
70	15	85	6	3	3	55
50	50	60	4	4	5	0
0	70	0	6	4	7	-70
0	100	100	4	5	1	-100
50	0	50	4	3	3	50
90	0	90	1	2	3	90
100	0	100	3	3	2	100
30	30	70	4	3	5	0
85	0	50	4	2	3	85
30	70	15	3	4	3	-40
40	15	30	5	3	6	25
40	0	40	2	3	3	40
60	0	0	3	2	4	60
15	60	0	4	2	5	-45
50	50	60	4	2	6	0
70	0	60	2	2	1	70
100	30	60	2	3	3	70
70	15	70	5	2	1	55
0	60	30	6	3	6	-60
85	0	85	2	2	1	85
100	15	85	6	2	2	85
98	0	92	1	2	1	98
0	100	0	7	5	7	-100
60	0	60	4	3	3	60
40	60	50	4	3	6	-20
60	60	85	4	1	3	0
85	0	70	2	2	2	85
70	30	70	4	3	3	40
85	0	100	1	1	3	85
0	70	0	6	3	7	-70
0	70	15	4	4	5	-70
70	0	85	4	1	4	70
