hillary	trump	bill	ideo	econ	partyid	relative
0	86	0	6	5	7	-86
0	75	0	5	4	5	-75
15	70	0	4	4	6	-55
60	24	89	4	3	4	36
85	0	70	2	3	1	85
0	85	0	6	3	7	-85
0	100	0	7	5	7	-100
0	100	0	5	3	7	-100
71	1	60	2	3	1	70
60	30	70	3	5	5	30
10	0	15	6	3	6	10
70	15	40	4	4	6	55
51	72	87	3	2	2	-21
70	0	50	3	3	4	70
30	30	31	5	1	6	0
1	30	2	5	4	5	-29
0	0	85	5	3	5	0
60	0	85	2	3	1	60
0	100	0	7	3	7	-100
0	85	0	6	3	7	-85
85	0	85	4	2	1	85
85	0	60	2	2	2	85
20	60	30	6	3	5	-40
60	60	60	1	3	1	0
60	0	50	4	1	3	60
2	70	2	6	5	7	-68
70	0	70	3	3	1	70
60	0	80	4	2	6	60
30	40	60	5	3	6	-10
85	60	100	4	2	1	25
85	40	90	4	1	3	45
15	70	15	4	3	4	-55
5	49	20	6	3	7	-44
0	85	0	6	3	7	-85
40	0	50	2	2	1	40
30	40	50	4	3	1	-10
70	0	50	4	3	3	70
81	16	60	2	2	1	65
70	0	70	3	5	2	70
0	90	0	2	3	4	-90
30	30	50	2	3	1	0
85	0	85	1	1	1	85
15	40	40	4	3	4	-25
15	40	30	3	3	3	-25
80	0	60	1	3	1	80
2	60	3	6	4	7	-58
0	85	15	6	3	5	-85
85	0	100	6	4	3	85
70	1	65	1	2	1	69
85	15	85	5	2	1	70
0	60	0	6	5	7	-60
0	100	0	6	5	7	-100
1	50	7	7	5	5	-49
60	40	84	4	5	2	20
40	30	15	4	3	4	10
0	65	28	7	4	7	-65
0	85	40	6	1	7	-85
0	70	0	6	4	7	-70
15	30	60	5	3	6	-15
40	15	30	4	3	2	25
67	0	50	4	2	4	67
0	85	1	7	4	7	-85
15	0	50	4	3	2	15
50	15	50	4	3	4	35
85	0	85	4	3	1	85
100	0	100	2	1	1	100
100	0	85	1	4	1	100
50	0	70	2	4	2	50
40	70	60	6	3	2	-30
50	0	70	4	2	2	50
61	40	55	5	3	3	21
23	0	65	2	4	3	23
85	0	85	3	2	2	85
15	42	41	4	4	5	-27
85	15	85	4	2	3	70
69	30	50	4	2	3	39
0	100	70	7	5	7	-100
1	60	78	3	3	4	-59
15	60	100	7	3	7	-45
0	100	30	5	4	5	-100
0	100	2	6	5	4	-100
70	0	40	4	3	4	70
0	100	40	6	5	7	-100
100	0	100	3	3	1	100
85	0	100	1	2	1	85
87	30	70	4	3	3	57
100	0	70	2	1	1	100
0	0	0	7	1	5	0
62	15	14	4	3	4	47
70	0	100	3	1	1	70
5	60	15	5	3	5	-55
0	100	0	7	4	7	-100
0	55	2	6	5	4	-55
50	50	15	4	2	4	0
40	0	85	2	3	1	40
0	70	2	6	1	7	-70
70	0	60	3	3	4	70
61	86	50	4	5	5	-25
72	2	85	2	1	1	70
18	60	0	4	4	5	-42
0	60	0	6	3	7	-60
15	70	30	4	5	7	-55
60	15	70	4	4	2	45
0	100	0	5	5	6	-100
85	0	60	4	3	3	85
100	0	100	2	1	1	100
85	70	95	3	3	1	15
85	70	60	4	4	7	15
0	100	0	6	4	5	-100
0	100	0	7	5	7	-100
2	85	16	6	4	7	-83
85	0	94	4	3	1	85
15	60	50	3	3	5	-45
2	84	2	6	5	7	-82
40	40	70	6	3	5	0
15	30	50	5	3	5	-15
0	60	85	4	3	4	-60
70	15	40	6	3	2	55
0	40	60	5	3	2	-40
70	0	70	5	2	3	70
1	99	0	6	5	7	-98
2	99	1	6	4	7	-97
15	0	0	4	3	2	15
15	85	15	2	4	6	-70
0	85	30	6	3	5	-85
70	0	85	4	3	2	70
85	0	100	2	1	1	85
87	1	75	2	2	1	86
60	0	85	5	2	3	60
40	10	85	4	2	4	30
0	60	30	5	3	4	-60
0	70	30	5	4	6	-70
42	16	70	3	3	4	26
100	1	89	4	3	1	99
19	1	60	4	3	3	18
85	50	60	6	3	6	35
70	40	69	4	1	1	30
31	70	61	5	4	6	-39
4	73	29	6	3	7	-69
0	70	15	6	5	5	-70
2	41	32	6	3	7	-39
6	80	17	4	3	5	-74
0	81	1	6	5	5	-81
92	6	98	3	2	1	86
71	1	85	1	3	2	70
2	85	10	6	3	5	-83
87	1	97	2	1	3	86
0	100	15	7	3	6	-100
0	70	0	5	4	7	-70
30	40	40	6	5	4	-10
71	8	99	2	5	3	63
40	15	60	4	3	2	25
40	70	40	4	3	7	-30
0	90	0	7	5	7	-90
30	70	50	6	3	7	-40
80	0	70	3	2	2	80
100	100	100	7	1	1	0
1	85	3	6	3	7	-84
15	30	50	4	3	5	-15
30	40	15	6	3	7	-10
5	100	72	5	3	3	-95
0	60	50	4	3	4	-60
99	0	90	1	2	1	99
15	0	0	5	3	6	15
87	0	85	1	3	3	87
2	80	0	4	5	3	-78
16	0	17	4	2	7	16
0	100	0	6	4	7	-100
85	0	85	4	3	1	85
0	85	0	6	4	7	-85
70	0	70	2	2	1	70
85	0	70	3	1	1	85
14	61	16	6	4	4	-47
100	0	70	3	4	1	100
56	5	74	4	3	3	51
40	15	70	4	3	2	25
60	50	60	4	4	4	10
0	100	10	6	5	7	-100
30	0	60	2	2	1	30
53	0	50	4	2	2	53
85	0	85	2	3	1	85
15	41	3	6	3	5	-26
0	85	0	6	5	7	-85
1	65	10	6	3	6	-64
40	0	30	1	2	3	40
0	75	0	7	3	7	-75
85	0	100	2	2	1	85
0	100	0	4	5	7	-100
0	70	0	7	3	7	-70
100	2	16	2	1	1	98
85	16	65	1	2	1	69
50	85	50	6	5	5	-35
41	32	50	5	3	2	9
62	34	84	3	4	3	28
70	5	85	2	2	3	65
1	84	1	6	3	7	-83
95	52	89	4	3	7	43
66	15	91	4	2	3	51
90	0	85	2	1	1	90
60	0	60	4	2	4	60
60	40	70	3	3	2	20
60	0	34	4	2	2	60
0	50	0	4	5	4	-50
60	15	85	4	4	3	45
15	85	50	6	4	7	-70
0	83	1	6	3	7	-83
0	60	30	6	2	7	-60
0	85	0	7	5	7	-85
75	0	85	4	1	2	75
69	7	60	2	3	2	62
0	50	0	4	3	7	-50
0	70	0	6	5	6	-70
1	61	34	6	4	4	-60
70	0	15	3	5	6	70
1	61	15	5	3	4	-60
70	0	70	3	2	1	70
0	70	15	7	5	7	-70
71	10	62	4	3	2	61
0	30	0	4	3	6	-30
15	70	30	5	4	6	-55
2	94	50	6	3	7	-92
60	40	85	4	3	2	20
40	0	50	2	3	3	40
0	85	0	4	4	4	-85
0	99	18	4	4	4	-99
15	62	70	5	3	5	-47
15	0	50	4	2	2	15
1	84	62	4	2	4	-83
0	60	0	7	3	7	-60
100	1	100	4	3	1	99
0	85	0	7	3	7	-85
0	98	0	6	4	7	-98
70	15	70	4	3	2	55
85	0	100	3	1	2	85
0	70	0	6	4	5	-70
70	1	86	2	2	1	69
0	85	0	6	4	6	-85
15	40	30	4	3	3	-25
30	15	70	5	2	6	15
85	0	50	4	3	1	85
0	100	0	7	5	7	-100
97	0	69	2	2	1	97
85	0	70	3	2	1	85
43	3	61	3	3	3	40
60	40	50	4	5	4	20
0	60	16	6	3	5	-60
0	85	85	4	5	4	-85
42	15	92	5	2	6	27
0	60	85	6	3	2	-60
0	70	15	6	5	7	-70
100	0	100	2	2	1	100
50	15	70	4	3	4	35
60	60	85	4	3	2	0
69	52	86	4	2	2	17
50	60	85	4	4	2	-10
1	91	0	4	3	4	-90
85	2	30	2	2	1	83
1	40	15	6	4	5	-39
100	0	60	2	1	2	100
61	30	71	4	3	3	31
66	0	50	2	2	1	66
30	85	0	6	4	7	-55
70	0	40	1	2	1	70
0	85	30	6	3	6	-85
15	60	30	4	2	6	-45
15	90	10	5	3	5	-75
100	15	85	2	2	2	85
0	100	0	4	5	7	-100
61	2	63	4	3	3	59
0	100	15	5	3	6	-100
75	0	75	2	1	1	75
15	9	60	4	2	6	6
0	85	0	3	4	1	-85
60	0	30	6	1	1	60
50	0	85	6	4	2	50
0	50	0	6	5	4	-50
40	40	15	6	3	5	0
60	15	50	4	3	2	45
0	60	30	6	4	5	-60
36	1	51	4	3	4	35
15	15	30	5	3	6	0
15	60	15	4	4	7	-45
15	70	15	6	4	7	-55
100	0	85	5	3	3	100
0	85	30	3	3	3	-85
85	15	98	4	3	2	70
1	70	0	7	5	7	-69
4	69	16	6	4	7	-65
0	60	0	6	4	7	-60
0	70	0	5	5	5	-70
0	85	50	6	5	7	-85
0	0	0	3	2	3	0
70	15	85	4	3	1	55
1	84	32	4	4	5	-83
15	30	10	4	3	5	-15
0	85	0	6	4	7	-85
72	2	61	2	3	1	70
85	0	85	3	3	2	85
0	40	0	4	3	5	-40
100	0	100	1	2	1	100
15	60	60	4	3	6	-45
30	70	50	4	3	6	-40
70	0	70	2	3	2	70
1	85	15	6	4	7	-84
0	85	0	4	5	4	-85
10	50	30	4	4	6	-40
45	58	56	6	3	4	-13
30	60	60	3	5	4	-30
15	1	15	2	3	1	14
1	41	1	6	4	7	-40
50	40	40	5	3	6	10
85	60	100	4	3	2	25
100	2	98	4	2	1	98
30	40	60	6	2	6	-10
100	15	70	3	2	1	85
15	40	30	5	3	5	-25
70	0	40	2	3	1	70
0	36	0	4	4	4	-36
70	0	0	6	5	7	70
0	60	40	5	5	6	-60
60	0	60	2	3	1	60
85	0	90	3	1	1	85
83	0	87	1	2	1	83
0	80	0	5	3	6	-80
30	70	40	5	3	6	-40
40	70	60	3	2	6	-30
32	61	61	4	3	4	-29
15	65	5	6	3	6	-50
0	60	16	5	3	7	-60
0	60	0	6	5	7	-60
0	80	0	6	3	7	-80
2	40	19	6	3	7	-38
70	0	30	2	2	3	70
0	60	0	4	1	6	-60
90	0	80	2	2	1	90
0	15	0	6	4	7	-15
40	49	55	6	1	6	-9
60	0	70	3	2	2	60
0	10	3	7	5	6	-10
30	100	10	5	4	7	-70
2	62	29	7	3	7	-60
95	15	95	2	2	1	80
60	0	70	2	3	3	60
60	0	70	3	3	2	60
100	0	70	2	2	1	100
0	100	0	6	3	6	-100
0	85	70	6	5	6	-85
31	60	15	6	4	6	-29
70	1	70	2	2	3	69
70	15	50	2	2	3	55
0	30	70	5	3	5	-30
45	26	54	4	3	2	19
61	16	50	2	3	4	45
85	1	85	3	2	1	84
40	30	66	4	2	5	10
40	0	70	5	4	3	40
0	85	0	5	3	6	-85
49	50	40	4	3	4	-1
70	0	50	4	3	1	70
0	0	50	4	3	4	0
30	15	50	5	4	5	15
3	100	7	6	3	7	-97
0	85	6	7	4	7	-85
71	2	85	2	3	1	69
70	0	85	3	3	3	70
60	0	50	7	3	7	60
40	15	60	4	3	7	25
62	0	84	3	3	3	62
16	15	16	4	3	6	1
0	70	50	2	3	5	-70
0	60	0	7	4	7	-60
50	85	30	5	2	6	-35
0	85	0	6	3	5	-85
0	40	23	6	3	5	-40
16	71	31	6	4	6	-55
0	85	0	6	5	5	-85
71	1	70	2	2	1	70
0	60	60	5	3	5	-60
15	0	50	4	3	3	15
16	70	31	6	3	7	-54
15	70	51	5	3	6	-55
2	51	32	4	3	2	-49
30	30	50	4	4	2	0
0	100	0	6	4	7	-100
60	0	31	3	3	2	60
68	15	82	4	4	1	53
2	100	1	6	4	7	-98
85	0	100	4	3	1	85
16	70	60	4	5	5	-54
85	0	85	4	4	2	85
75	0	75	1	2	1	75
60	30	50	2	4	2	30
58	18	88	3	2	2	40
100	0	100	4	1	1	100
17	70	16	4	4	7	-53
60	0	85	4	3	1	60
33	19	1	3	5	4	14
15	15	50	4	2	4	0
0	100	0	6	4	7	-100
60	15	85	3	2	3	45
15	0	30	5	3	4	15
70	50	0	4	3	5	20
60	0	40	3	2	3	60
80	5	80	3	2	2	75
30	70	0	2	2	4	-40
0	100	0	6	3	5	-100
60	30	70	4	3	1	30
15	70	30	6	4	6	-55
40	40	60	4	2	4	0
40	60	15	5	5	6	-20
100	0	100	4	3	1	100
74	0	85	3	3	3	74
0	100	0	4	2	3	-100
0	65	50	6	3	5	-65
2	100	1	7	3	5	-98
70	1	71	2	3	3	69
15	85	0	6	5	6	-70
100	2	100	2	3	1	98
11	47	54	5	3	7	-36
85	1	70	2	1	1	84
0	100	60	5	3	7	-100
40	0	85	5	2	6	40
3	70	1	4	5	7	-67
70	0	85	1	2	2	70
100	0	100	2	2	1	100
63	0	31	1	4	1	63
1	65	1	6	4	7	-64
85	17	61	4	4	4	68
60	0	0	5	1	6	60
0	70	0	7	5	7	-70
0	60	15	4	4	6	-60
0	10	61	5	4	5	-10
69	1	98	2	3	3	68
50	50	60	4	5	2	0
80	0	70	2	2	1	80
70	1	61	2	3	1	69
0	85	0	6	4	7	-85
100	0	100	4	3	1	100
5	7	70	5	3	6	-2
0	70	40	6	3	5	-70
0	98	1	6	4	7	-98
100	0	100	3	2	2	100
84	11	91	4	3	4	73
0	85	0	4	4	6	-85
30	0	50	3	3	3	30
70	15	60	4	3	4	55
40	39	39	4	3	2	1
0	2	15	4	3	6	-2
41	0	59	3	2	3	41
10	0	70	3	2	4	10
1	100	1	6	5	7	-99
86	15	98	5	1	1	71
1	100	16	4	5	4	-99
60	0	70	3	1	2	60
50	85	0	4	5	6	-35
85	6	100	4	2	1	79
40	0	70	4	3	3	40
0	100	15	6	5	7	-100
60	30	86	5	3	6	30
50	0	70	4	1	3	50
15	85	15	6	4	5	-70
60	30	85	4	3	3	30
70	0	80	2	2	3	70
0	50	0	4	3	5	-50
90	0	85	2	2	1	90
0	0	0	6	5	7	0
0	99	0	6	5	6	-99
1	92	1	7	3	7	-91
0	70	15	6	3	7	-70
30	60	15	6	4	7	-30
60	40	70	5	3	6	20
62	17	56	1	5	2	45
40	15	60	5	2	7	25
20	0	25	3	3	2	20
81	0	65	1	2	3	81
85	15	85	2	2	1	70
70	40	60	7	2	7	30
0	40	15	4	5	4	-40
70	0	70	1	3	2	70
0	100	0	5	3	7	-100
50	50	50	4	3	4	0
1	84	58	6	3	7	-83
15	60	30	6	3	7	-45
50	53	77	4	3	4	-3
85	0	100	2	2	1	85
0	60	0	6	3	6	-60
0	70	0	4	3	7	-70
41	58	51	5	3	6	-17
69	1	85	2	2	1	68
85	0	70	4	3	1	85
62	32	86	4	2	2	30
0	100	3	6	3	7	-100
15	85	60	5	3	5	-70
32	1	41	1	2	1	31
86	1	85	4	2	1	85
60	60	40	4	3	6	0
69	0	70	4	3	1	69
100	0	99	2	1	1	100
15	60	15	6	4	4	-45
30	0	40	4	3	3	30
71	1	70	1	3	2	70
84	1	61	4	3	1	83
50	0	70	4	3	2	50
33	0	19	5	3	7	33
85	10	100	2	2	1	75
72	3	60	3	2	2	69
0	85	0	5	3	5	-85
85	30	85	4	3	3	55
15	70	15	6	3	7	-55
70	5	70	2	3	1	65
40	15	50	2	2	3	25
8	62	30	5	3	6	-54
85	40	85	4	1	4	45
15	85	30	3	2	5	-70
9	10	50	5	3	6	-1
89	0	85	2	3	1	89
50	51	50	4	3	4	-1
0	100	0	7	5	7	-100
0	0	0	4	5	4	0
41	50	50	5	3	6	-9
8	65	4	3	4	7	-57
70	15	85	1	2	1	55
18	85	30	6	3	7	-67
85	0	85	2	1	3	85
50	50	49	4	4	4	0
0	40	60	5	3	5	-40
0	60	15	6	3	6	-60
0	100	40	5	5	6	-100
30	60	60	4	5	4	-30
0	100	0	6	4	7	-100
70	0	85	3	2	1	70
61	3	71	4	3	2	58
50	50	30	5	4	1	0
30	30	30	4	3	4	0
0	70	0	6	5	7	-70
75	1	80	3	3	2	74
1	62	13	5	2	6	-61
72	0	98	1	1	1	72
72	2	59	2	1	2	70
63	2	3	4	1	1	61
100	0	100	1	4	1	100
30	70	16	5	3	7	-40
61	1	32	2	2	1	60
60	0	100	4	2	2	60
60	0	70	3	2	2	60
5	95	10	5	3	5	-90
30	60	40	7	3	5	-30
16	41	17	4	4	6	-25
50	50	60	2	3	3	0
85	0	100	2	3	3	85
0	50	0	4	3	5	-50
62	4	79	2	5	2	58
30	18	1	6	5	7	12
15	69	16	5	3	6	-54
31	2	3	3	3	4	29
1	71	15	7	4	7	-70
0	0	17	4	5	4	0
15	60	16	4	5	6	-45
85	0	70	2	3	1	85
1	10	35	5	3	6	-9
15	85	0	6	4	5	-70
1	85	8	6	3	7	-84
61	48	77	3	3	2	13
43	40	31	5	3	6	3
70	0	70	4	3	1	70
0	70	2	6	4	6	-70
90	0	85	2	3	1	90
85	30	85	5	2	1	55
0	85	1	6	5	5	-85
0	50	50	4	5	7	-50
0	85	0	6	4	7	-85
0	70	0	4	5	7	-70
70	30	60	4	2	6	40
0	100	0	6	5	7	-100
1	98	1	4	5	7	-97
80	0	60	3	3	2	80
15	15	15	4	3	4	0
2	85	15	6	2	7	-83
70	0	60	4	3	1	70
0	100	0	3	5	4	-100
90	10	80	1	2	1	80
0	30	40	2	2	3	-30
91	0	85	1	2	1	91
100	0	100	2	3	1	100
100	6	85	4	3	7	94
16	85	17	6	3	7	-69
0	100	0	6	4	7	-100
16	71	31	6	3	6	-55
100	15	85	3	3	2	85
80	10	70	5	2	6	70
15	75	15	6	2	7	-60
60	15	85	3	3	3	45
0	70	0	3	4	6	-70
40	0	40	1	3	3	40
1	41	8	6	2	7	-40
30	70	60	3	3	3	-40
5	0	61	5	3	6	5
60	0	60	4	2	3	60
85	0	100	2	2	1	85
30	60	30	4	3	5	-30
60	3	100	6	3	2	57
100	1	100	2	1	1	99
85	40	100	3	2	2	45
3	59	5	6	4	5	-56
0	70	50	6	3	7	-70
0	90	85	5	5	4	-90
100	15	60	2	3	1	85
1	0	60	5	5	4	1
0	40	0	6	3	7	-40
60	0	50	3	3	3	60
15	40	40	6	3	5	-25
16	70	70	4	3	5	-54
30	2	95	4	3	4	28
70	0	60	1	3	3	70
60	0	55	3	3	3	60
40	40	60	4	2	7	0
15	100	85	4	5	4	-85
15	0	0	6	2	5	15
5	14	61	3	3	5	-9
20	80	35	6	2	7	-60
85	0	70	2	2	3	85
60	0	100	3	3	3	60
0	100	0	7	5	7	-100
85	0	70	4	1	1	85
1	92	1	7	4	7	-91
40	70	70	5	1	5	-30
86	10	65	3	3	1	76
0	80	15	5	5	5	-80
0	85	0	4	4	7	-85
90	0	80	2	2	1	90
15	15	0	6	3	7	0
0	85	60	5	3	5	-85
0	100	0	6	5	7	-100
0	60	15	6	5	7	-60
0	75	50	4	3	2	-75
0	30	40	6	3	5	-30
70	3	50	4	3	4	67
70	0	85	2	2	1	70
84	0	68	4	2	3	84
10	63	51	6	3	7	-53
60	0	60	3	3	3	60
50	50	70	6	3	7	0
0	72	5	6	5	7	-72
60	60	60	4	3	4	0
55	0	60	3	3	3	55
0	0	0	4	5	4	0
0	89	15	6	4	7	-89
0	100	0	6	5	7	-100
0	70	40	4	5	4	-70
4	60	60	4	3	6	-56
0	60	2	7	3	7	-60
0	90	0	6	5	7	-90
100	15	85	2	5	1	85
10	10	10	4	3	4	0
15	70	60	6	5	7	-55
0	85	0	6	5	7	-85
50	85	50	4	3	4	-35
0	95	0	6	4	7	-95
8	6	16	4	3	6	2
2	52	1	4	4	4	-50
85	2	90	2	2	1	83
85	0	100	2	2	3	85
0	80	25	7	5	7	-80
40	30	85	2	3	2	10
0	85	50	6	3	7	-85
61	1	50	2	2	1	60
30	85	60	5	3	6	-55
70	0	70	2	2	2	70
85	0	85	3	3	2	85
0	41	61	6	4	5	-41
0	70	0	6	4	6	-70
30	100	40	6	5	7	-70
0	70	30	6	3	7	-70
40	1	85	2	2	3	39
60	60	70	3	3	7	0
51	1	51	1	3	2	50
50	30	60	3	1	3	20
60	60	70	4	3	4	0
65	0	60	2	3	1	65
70	15	76	3	3	1	55
0	60	0	4	4	6	-60
71	0	45	3	3	3	71
30	0	65	2	3	1	30
50	50	70	2	5	4	0
0	100	0	6	3	6	-100
60	0	40	1	2	4	60
15	0	15	2	3	4	15
0	85	15	6	5	5	-85
17	41	51	4	5	5	-24
1	51	2	4	3	5	-50
64	1	44	1	2	3	63
4	60	0	6	3	6	-56
60	70	70	5	3	6	-10
95	0	85	2	3	3	95
60	0	40	2	3	2	60
100	0	100	2	2	1	100
0	85	50	5	2	6	-85
85	16	96	3	2	1	69
50	30	50	4	4	4	20
71	0	71	2	2	1	71
70	2	84	2	3	1	68
70	30	85	4	2	1	40
0	61	7	6	3	7	-61
17	41	15	6	2	7	-24
2	100	1	6	3	6	-98
40	0	61	2	2	3	40
0	100	0	7	4	7	-100
0	85	0	6	4	7	-85
16	70	61	6	2	6	-54
100	1	85	2	2	1	99
29	1	60	3	2	2	28
32	61	40	6	3	7	-29
50	50	50	4	3	1	0
70	0	100	3	3	5	70
51	0	50	4	3	4	51
0	85	0	6	5	6	-85
55	35	90	3	2	3	20
18	71	61	4	4	4	-53
55	33	38	3	3	2	22
16	41	16	5	4	6	-25
70	85	72	6	3	2	-15
0	62	40	6	3	6	-62
99	0	90	2	2	1	99
0	85	10	5	3	5	-85
15	85	40	5	3	5	-70
3	70	41	5	3	2	-67
50	0	50	4	5	2	50
0	70	15	5	4	5	-70
60	0	85	2	2	1	60
70	0	85	2	3	3	70
0	30	30	6	2	4	-30
30	50	85	3	5	4	-20
15	85	30	6	2	7	-70
70	0	95	3	1	1	70
15	30	15	5	2	6	-15
99	0	98	2	2	1	99
100	0	99	1	2	1	100
85	0	70	1	2	1	85
85	0	85	2	2	1	85
100	15	85	4	1	1	85
15	15	60	3	3	3	0
15	30	30	5	3	5	-15
90	0	90	2	2	1	90
0	93	0	6	5	7	-93
50	40	71	6	3	4	10
61	2	51	4	2	5	59
15	70	40	4	5	4	-55
0	60	0	2	4	3	-60
0	85	2	6	4	5	-85
60	5	80	2	3	1	55
2	86	16	6	3	5	-84
60	24	77	3	3	6	36
17	2	33	5	5	4	15
60	0	50	4	1	2	60
0	85	0	7	5	5	-85
100	0	85	2	1	1	100
30	85	15	7	5	7	-55
0	85	0	1	3	4	-85
15	60	35	5	2	5	-45
12	31	40	5	3	5	-19
0	85	0	6	5	7	-85
90	0	90	3	2	2	90
50	50	70	3	2	3	0
0	40	0	5	3	6	-40
0	90	5	6	4	7	-90
85	0	85	2	2	1	85
100	0	100	3	1	1	100
0	95	0	6	5	5	-95
40	60	100	5	3	4	-20
60	0	40	3	2	4	60
71	2	93	3	3	4	69
60	0	60	1	2	2	60
60	30	60	5	3	1	30
85	1	96	4	2	1	84
0	85	0	6	5	7	-85
50	0	100	4	3	7	50
70	0	60	3	3	1	70
60	15	85	4	3	3	45
60	15	75	3	3	2	45
2	85	16	6	3	5	-83
85	0	100	5	3	1	85
40	0	85	4	2	2	40
30	0	60	4	4	3	30
0	98	0	6	4	7	-98
0	85	15	6	4	5	-85
0	100	0	7	4	7	-100
93	0	80	2	2	2	93
0	60	15	6	5	7	-60
85	60	100	3	2	3	25
70	0	60	2	3	2	70
100	0	100	2	2	1	100
85	17	85	4	3	2	68
0	30	0	6	3	5	-30
15	0	70	2	3	2	15
30	60	0	4	3	5	-30
60	40	50	5	2	3	20
0	100	0	7	5	7	-100
80	0	0	5	4	4	80
85	2	84	2	1	1	83
1	85	2	6	4	7	-84
50	50	60	4	3	2	0
15	85	15	6	3	7	-70
30	85	15	4	5	5	-55
86	6	97	3	2	1	80
1	0	70	3	4	1	1
0	100	50	6	5	4	-100
0	86	16	6	4	7	-86
0	100	40	6	5	7	-100
60	15	85	3	2	4	45
16	85	70	4	3	5	-69
85	0	70	2	1	1	85
40	0	40	2	4	3	40
0	97	15	6	5	7	-97
2	17	71	4	2	4	-15
100	0	85	5	3	2	100
70	1	80	2	3	1	69
85	0	85	2	2	2	85
85	0	85	2	2	1	85
60	0	60	3	2	2	60
82	17	41	4	3	1	65
30	70	60	4	4	7	-40
50	0	85	3	4	1	50
87	2	90	5	2	2	85
17	100	69	4	2	5	-83
0	61	1	6	3	6	-61
0	60	0	2	5	6	-60
15	5	10	1	2	3	10
15	15	15	6	4	6	0
60	30	30	3	2	3	30
60	0	15	3	3	1	60
60	40	85	4	3	4	20
0	85	50	6	4	7	-85
85	2	100	2	3	1	83
70	15	70	2	2	3	55
40	70	0	5	3	5	-30
80	0	80	4	1	4	80
87	0	60	3	4	1	87
60	31	10	3	4	2	29
0	85	0	7	3	7	-85
30	85	30	6	2	7	-55
0	60	15	7	5	5	-60
1	0	0	4	4	4	1
0	70	0	6	5	7	-70
15	30	15	5	3	5	-15
31	32	61	4	3	7	-1
0	85	15	6	3	7	-85
85	0	100	2	3	1	85
0	85	30	6	3	5	-85
70	15	85	5	3	6	55
60	0	50	2	2	3	60
71	1	85	2	2	1	70
55	0	50	1	3	1	55
60	0	50	4	3	2	60
0	0	0	6	3	5	0
15	85	0	4	3	3	-70
70	0	85	2	3	2	70
0	85	0	6	5	7	-85
67	27	85	4	2	4	40
0	50	50	3	5	2	-50
90	2	50	2	4	3	88
16	84	17	6	3	7	-68
2	61	0	4	5	5	-59
33	3	86	2	4	4	30
100	0	100	2	2	1	100
59	41	70	3	2	1	18
92	0	84	2	2	1	92
30	30	40	4	4	2	0
40	40	50	3	3	1	0
0	60	70	3	3	4	-60
30	15	60	3	3	3	15
50	50	60	4	5	6	0
95	0	80	2	2	1	95
40	0	30	4	3	2	40
1	60	3	5	5	7	-59
0	100	0	5	3	7	-100
100	0	100	2	2	1	100
60	62	84	5	2	6	-2
80	0	84	2	3	2	80
92	9	15	3	2	1	83
30	5	40	5	5	6	25
30	70	85	4	3	6	-40
40	60	30	5	4	6	-20
60	40	85	5	2	5	20
40	0	60	4	4	2	40
39	60	50	5	3	5	-21
70	0	70	3	3	1	70
15	60	0	6	3	7	-45
0	0	0	2	5	1	0
60	0	85	4	3	2	60
70	3	58	3	2	4	67
1	50	75	4	3	4	-49
85	0	85	4	2	1	85
15	0	13	6	3	7	15
15	70	0	6	5	6	-55
60	0	98	2	3	1	60
0	100	0	5	4	2	-100
42	1	40	4	3	4	41
0	100	1	5	5	6	-100
3	86	2	5	3	5	-83
85	15	85	2	3	1	70
0	0	15	3	2	3	0
1	55	1	6	4	5	-54
71	1	86	2	4	1	70
80	50	40	4	2	3	30
50	40	40	5	3	2	10
75	10	90	3	2	3	65
40	15	40	3	3	1	25
75	0	90	2	2	2	75
30	1	60	5	2	5	29
0	0	70	4	5	4	0
0	70	0	6	3	6	-70
8	88	4	6	4	7	-80
85	15	100	2	1	1	70
100	15	85	1	3	1	85
0	60	0	6	4	6	-60
1	70	31	6	3	7	-69
100	0	85	3	1	1	100
4	93	1	4	5	4	-89
0	100	15	5	5	7	-100
0	100	60	4	5	5	-100
40	33	52	4	3	4	7
100	0	60	2	4	1	100
40	15	50	3	3	5	25
2	61	15	6	3	7	-59
85	15	100	2	4	1	70
2	85	1	7	5	6	-83
0	60	60	6	3	4	-60
42	89	60	5	4	5	-47
85	0	85	3	3	1	85
100	0	100	5	3	2	100
0	75	20	6	4	7	-75
93	7	85	3	2	3	86
15	85	30	7	3	7	-70
60	50	0	4	4	4	10
0	85	15	7	3	7	-85
85	0	85	3	3	2	85
60	0	100	4	3	1	60
15	50	15	7	5	4	-35
40	15	60	1	2	2	25
16	85	3	7	5	7	-69
85	0	85	1	2	2	85
0	70	0	5	2	5	-70
40	85	30	5	4	6	-45
3	81	8	5	4	7	-78
99	7	84	4	2	1	92
70	15	50	5	1	1	55
0	30	0	4	3	4	-30
15	15	40	3	4	2	0
85	0	68	4	3	3	85
39	61	83	5	3	6	-22
60	15	0	4	3	3	45
0	100	15	7	5	5	-100
97	0	96	2	1	1	97
85	0	100	2	2	1	85
70	53	84	3	2	3	17
31	60	60	4	1	5	-29
70	0	70	3	3	1	70
60	0	100	1	2	1	60
0	62	39	4	3	5	-62
60	0	60	3	3	1	60
70	0	60	1	2	1	70
70	30	70	4	3	3	40
85	0	85	4	2	1	85
30	0	50	4	3	5	30
85	15	85	3	2	1	70
85	0	70	5	2	7	85
